full_name,description,url,stars,forks,language,svelte_version,is_svelte5,has_sveltekit,sveltekit_version
engageintellect/sveltekit-landing-daisy,"A landing page template with various persistent themes using SvelteKit, TailwindCSS, and DaisyUI.",https://github.com/engageintellect/sveltekit-landing-daisy,36,8,Svelte,4.0.0,0,1,^2.0.0
idea2547/Alya_Sveltekit_SaaS,"Open-source sveltekit SaaS template including pocketbase back-end,  and stripe payment system for shipping your new SaaS product fast",https://github.com/idea2547/Alya_Sveltekit_SaaS,35,5,Svelte,4.2.7,0,1,^2.0.0
startino/saas-starter,"A SvelteKit boilerplate offering user authentication, dashboards, marketing pages, a blog engine, and subscription management. Built with SvelteKit, Tailwind, shadcn-svelte, Supabase, and Stripe. This project's vision is to make our setup time 0.",https://github.com/startino/saas-starter,35,3,Svelte,5.0.3,1,1,^2.0.0
kclejeune/TMobile-ISP-Client,"mobile friendly, self hosted status dashboard for T-Mobile ISP routers",https://github.com/kclejeune/TMobile-ISP-Client,35,5,Svelte,3.44.3,0,1,^1.0.0-next.231
Nadeflore/watchface-web-editor,A web editor for huami bin watchfaces,https://github.com/Nadeflore/watchface-web-editor,32,4,Svelte,3.0.0,0,0,
Tozaburo/liquid-glass-svelte,Svelte component to implement Apple’s Liquid Glass.,https://github.com/Tozaburo/liquid-glass-svelte,32,0,Svelte,5.0.0,1,1,^2.16.0
PuruVJ/ios-web,,https://github.com/PuruVJ/ios-web,30,1,SCSS,3.46.2,0,0,
khromov/sveltekit-capacitor-starter,A starter project that implemente SvelteKit and Capacitor,https://github.com/khromov/sveltekit-capacitor-starter,30,0,Swift,4.0.5,0,1,^1.20.4
stordahl/svelte-cookbook,"A community built resource, for productive Svelte Development",https://github.com/stordahl/svelte-cookbook,26,0,Svelte,5.0.0-next.1,1,1,^2.0.0
unlocomqx/shopify-app-sveltekit,,https://github.com/unlocomqx/shopify-app-sveltekit,24,4,TypeScript,3.38.2,0,1,next
zitounao/Sveltekit-Shopify-App,Shopify embedded app with Sveltekit 1.0,https://github.com/zitounao/Sveltekit-Shopify-App,24,2,JavaScript,3.54.0,0,1,^1.5.0
dummdidumm/tanstack-table-8-svelte-5,,https://github.com/dummdidumm/tanstack-table-8-svelte-5,22,1,TypeScript,5.0.0,1,1,^2.0.0
wysher/svelte-overlay,"Fully customizable Svelte overlay. Great for creating dropdowns, tooltips and popovers",https://github.com/wysher/svelte-overlay,22,2,JavaScript,3.22.2,0,0,
tanhauhau/sveet,,https://github.com/tanhauhau/sveet,22,3,Svelte,3.53.1,0,1,next
kenny-io/sveltekit-shopify-ecommerce,,https://github.com/kenny-io/sveltekit-shopify-ecommerce,21,6,JavaScript,3.34.0,0,1,next
jamezmca/gym-app-landingpage,SvelteKit & TailwindCSS Landing Page,https://github.com/jamezmca/gym-app-landingpage,21,12,Svelte,4.2.7,0,1,^1.27.4
joshnuss/tonys-apizza,"POS for a pizza shop. Using SvelteKit, Prisma, and Stripe.",https://github.com/joshnuss/tonys-apizza,19,1,Svelte,3.44.0,0,1,next
dummdidumm/remote-functions-demos,,https://github.com/dummdidumm/remote-functions-demos,18,4,Svelte,5.0.0,1,1,^2.22.0
jacwright/svelte-navaid,A Svelte router powered by https://github.com/lukeed/navaid/,https://github.com/jacwright/svelte-navaid,18,3,HTML,3.9.1,0,0,
PuruVJ/ms-todo-svelte,,https://github.com/PuruVJ/ms-todo-svelte,17,4,Svelte,3.49.0,0,1,^1.0.0-next.460
dummdidumm/template,Template for building basic applications with Svelte,https://github.com/dummdidumm/template,16,0,JavaScript,3.0.0,0,0,
paoloricciuti/sveltekit-server-islands,Userland implementation of server islands for sveltekit,https://github.com/paoloricciuti/sveltekit-server-islands,15,1,JavaScript,5.0.0,1,1,^2.16.0
takempf/dither,Lofi dithered GIF chat,https://github.com/takempf/dither,15,1,Svelte,5.0.0-next.1,1,1,^2.0.0
tanhauhau/create-a-svelte-router,,https://github.com/tanhauhau/create-a-svelte-router,14,4,JavaScript,3.44.0,0,0,
svonic/svonic,Svonic is a UI component library for Svelte based on the Ionic Framework.,https://github.com/svonic/svonic,14,1,Svelte,4.2.2,0,0,
khromov/svelte-neko,A Svelte 5 port of the Oneko.js library,https://github.com/khromov/svelte-neko,13,1,Svelte,5.0.0-next.1,1,1,^2.0.0
Rich-Harris/hash-based-routing,SvelteKit hash-based routing demo,https://github.com/Rich-Harris/hash-based-routing,12,1,Svelte,5.0.0,1,1,^2.0.0
dummdidumm/vercel-sveltekit-news-demo,,https://github.com/dummdidumm/vercel-sveltekit-news-demo,11,0,Svelte,5.0.0-next.1,1,1,^2.0.0
tanhauhau/cloudinary-photo-album,,https://github.com/tanhauhau/cloudinary-photo-album,10,3,Svelte,4.2.7,0,1,^2.0.0
PuruVJ/svelte-simple-code-editor,,https://github.com/PuruVJ/svelte-simple-code-editor,10,1,Svelte,3.44.3,0,1,next
dummdidumm/svelte-async-remote-functions-example,,https://github.com/dummdidumm/svelte-async-remote-functions-example,6,2,Svelte,5.0.0,1,1,^2.16.0
gtm-nayan/svelte-use-chessground,,https://github.com/gtm-nayan/svelte-use-chessground,6,2,CSS,3.44.2,0,1,next
7nik/nm-trade-enhancements,,https://github.com/7nik/nm-trade-enhancements,6,0,TypeScript,3.53.1,0,0,
tanhauhau/svelte-component-in-react-app,,https://github.com/tanhauhau/svelte-component-in-react-app,4,0,JavaScript,3.38.2,0,0,
dummdidumm/sveltekit-server-islands,,https://github.com/dummdidumm/sveltekit-server-islands,3,0,Svelte,5.0.0-next.1,1,1,^2.0.0
tanhauhau/advent-of-typescript-clone,,https://github.com/tanhauhau/advent-of-typescript-clone,3,1,TypeScript,5.0.0-next.1,1,1,^2.0.0
tanhauhau/svelvety,,https://github.com/tanhauhau/svelvety,3,0,JavaScript,3.13.0,0,0,
paoloricciuti/the-blog-of-alexandria,"The Blog of Alexandria, a never ending source of information",https://github.com/paoloricciuti/the-blog-of-alexandria,3,0,Svelte,5.0.0,1,1,^2.22.0
paoloricciuti/dotprompts,An MCP server/Webapp to store all your favorite prompts and have them available everywhere,https://github.com/paoloricciuti/dotprompts,3,0,Svelte,5.41.0,1,1,^2.47.1
svelte-society/advent-of-svelte,,https://github.com/svelte-society/advent-of-svelte,3,0,Svelte,5.44.0,1,1,^2.49.0
PuruVJ/puruvj.dev,,https://github.com/PuruVJ/puruvj.dev,3,2,MDX,5.7.1,1,0,
PuruVJ/peh3,,https://github.com/PuruVJ/peh3,3,1,Svelte,3.48.0,0,1,^1.0.0-next.350
7nik/test-svelte-userscript,,https://github.com/7nik/test-svelte-userscript,3,0,JavaScript,3.0.0,0,0,
mrkishi/svelte-template-electron,A template for building Electron apps with Svelte,https://github.com/mrkishi/svelte-template-electron,3,3,TypeScript,3.3.0,0,0,
dummdidumm/component-template,A base for building shareable Svelte components,https://github.com/dummdidumm/component-template,2,0,,3.0.0,0,0,
tanhauhau/the-js-we-do-not-deserve,,https://github.com/tanhauhau/the-js-we-do-not-deserve,2,0,JavaScript,3.24.0,0,0,
paoloricciuti/moviemojis,Guess the movie based on the emoji list,https://github.com/paoloricciuti/moviemojis,2,0,Svelte,5.45.6,1,1,^2.49.1
paoloricciuti/squiggles,"Personal note taking app, cause everything else sucks",https://github.com/paoloricciuti/squiggles,2,0,TypeScript,5.0.0,1,1,^2.22.0
PuruVJ/100ms-svelte-guide-proj,,https://github.com/PuruVJ/100ms-svelte-guide-proj,2,1,Svelte,3.44.2,0,0,
PuruVJ/svelte-repl-next,,https://github.com/PuruVJ/svelte-repl-next,2,0,JavaScript,4.0.5,0,1,^1.20.5
baseballyama/svelte-in-vue3-ts,Using Svelte component in Vue3 app,https://github.com/baseballyama/svelte-in-vue3-ts,2,0,TypeScript,3.49.0,0,0,
DreaminDani/cnc-treasure-generator,A Castles & Crusades Treasure Generator,https://github.com/DreaminDani/cnc-treasure-generator,2,0,JavaScript,3.0.0,0,0,
dummdidumm/festive-remote-functions,,https://github.com/dummdidumm/festive-remote-functions,1,0,Svelte,5.43.8,1,1,^2.48.5
dummdidumm/sveltekit-vercel-dev-repro,,https://github.com/dummdidumm/sveltekit-vercel-dev-repro,1,0,JavaScript,5.0.0,1,1,^2.0.0
dummdidumm/vercel-rewrite-confusion,,https://github.com/dummdidumm/vercel-rewrite-confusion,1,0,TypeScript,5.0.0,1,1,^2.0.0
dummdidumm/svelte-spa-router,Router for SPAs using Svelte 3,https://github.com/dummdidumm/svelte-spa-router,1,0,,3.29.0,0,0,
dummdidumm/sapper,"The next small thing in web development, powered by Svelte",https://github.com/dummdidumm/sapper,1,0,,3.24.0,0,0,
dummdidumm/sveltesociety.dev,"Community website for Svelte Society (Work in progress). The site will contain a component library list, a cookbook, tutorials, event information, talks etc.",https://github.com/dummdidumm/sveltesociety.dev,1,0,,3.23.2,0,0,
trueadm/js-reactivity-benchmark,Benchmark comparing different standalone JS reactivity / signals frameworks.,https://github.com/trueadm/js-reactivity-benchmark,1,0,,5.0.0-next.249,1,0,
tanhauhau/sveltekit-workshop-cityjs-2024-api,,https://github.com/tanhauhau/sveltekit-workshop-cityjs-2024-api,1,0,TypeScript,4.2.7,0,1,^2.0.0
benmccann/svelte-adapter-azure-swa,SvelteKit adapter for Azure Static Web Apps.,https://github.com/benmccann/svelte-adapter-azure-swa,1,0,,,0,1,^2.17.3
paoloricciuti/ricciuti.me,my personal website ,https://github.com/paoloricciuti/ricciuti.me,1,0,mdsvex,5.46.0,1,1,^2.5.27
paoloricciuti/teaching-llms-how-to-svelte,"Slides for my talk ""How I taught LLMs how to Svelte""",https://github.com/paoloricciuti/teaching-llms-how-to-svelte,1,0,Svelte,5.34.7,1,1,^2.22.0
PuruVJ/wordcounter,,https://github.com/PuruVJ/wordcounter,1,1,Svelte,3.42.3,0,1,^1.0.0-next.158
baseballyama/svelte-ast-print-playground,The playground of svelte-ast-print,https://github.com/baseballyama/svelte-ast-print-playground,1,0,Svelte,5.16.1,1,1,^2.15.1
gtm-nayan/js_trgm,,https://github.com/gtm-nayan/js_trgm,1,0,TypeScript,3.47.0,0,1,next
DreaminDani/desandoval-blog,Hugo-based website for DESandoval.net,https://github.com/DreaminDani/desandoval-blog,1,0,JavaScript,3.48.0,0,0,
7nik/ap-vk-poster,Userscript for posting pictures in VKontakte from Anime-Pictures,https://github.com/7nik/ap-vk-poster,1,0,TypeScript,5.0.0,1,0,
Conduitry/sveltejs_prettier-plugin-svelte,Format your svelte components using prettier.,https://github.com/Conduitry/sveltejs_prettier-plugin-svelte,0,0,TypeScript,github:UnwrittenFun/svelte#fix/object-array-pattern-end,0,0,
dummdidumm/sveltekit-vercel-redirect-example,,https://github.com/dummdidumm/sveltekit-vercel-redirect-example,0,0,TypeScript,5.0.0,1,1,^2.22.0
dummdidumm/sveltia-ui,"Our goal is to create a collection of accessible, beautiful, customizable Svelte UI components. The core of Sveltia CMS. (Not ready for general use)",https://github.com/dummdidumm/sveltia-ui,0,0,,5.35.2,1,1,^2.22.2
dummdidumm/superforms-bug,,https://github.com/dummdidumm/superforms-bug,0,0,HTML,4.0.0,0,1,^2.16.0
dummdidumm/saraJones,,https://github.com/dummdidumm/saraJones,0,0,,5.0.0,1,1,^2.16.0
dummdidumm/flags-precompute-manual-sveltekit,,https://github.com/dummdidumm/flags-precompute-manual-sveltekit,0,0,TypeScript,5.0.0,1,1,^2.18.0
trueadm/kit,"web development, streamlined",https://github.com/trueadm/kit,0,0,,3.56.0,0,0,
tanhauhau/svelte-ai-components,,https://github.com/tanhauhau/svelte-ai-components,0,0,TypeScript,5.0.0,1,1,^2.16.0
benmccann/svelte-eslint-parser,Svelte parser for ESLint,https://github.com/benmccann/svelte-eslint-parser,0,0,,5.41.0,1,0,
benmccann/enhanced-img-svgpng,,https://github.com/benmccann/enhanced-img-svgpng,0,0,,5.0.0,1,1,^2.16.0
benmccann/svelte-highlight,Syntax Highlighting for Svelte using highlight.js,https://github.com/benmccann/svelte-highlight,0,0,,4.2.20,0,0,
benmccann/evidence,"Business intelligence as code: build fast, interactive data visualizations in SQL and markdown",https://github.com/benmccann/evidence,0,0,,4.2.19,0,1,2.8.4
paoloricciuti/aletamb-photos,Photo website for my wife,https://github.com/paoloricciuti/aletamb-photos,0,0,Svelte,5.43.14,1,1,^2.48.7
PuruVJ/repro-async-bug-nested-layouts,,https://github.com/PuruVJ/repro-async-bug-nested-layouts,0,0,Svelte,5.41.2,1,1,^2.47.3
PuruVJ/twis-neodrag-july,,https://github.com/PuruVJ/twis-neodrag-july,0,0,TypeScript,5.36.2,1,0,
PuruVJ/uppy-spike,,https://github.com/PuruVJ/uppy-spike,0,0,Svelte,5.0.0,1,1,^2.16.0
PuruVJ/bits-ui-accordian-wrong-type,Created with StackBlitz ⚡️,https://github.com/PuruVJ/bits-ui-accordian-wrong-type,0,0,Svelte,5.0.0,1,1,^2.16.0
PuruVJ/neosvelte,,https://github.com/PuruVJ/neosvelte,0,0,TypeScript,5.0.0-next.244,1,0,
baseballyama/vite-plugin-svelte,Svelte plugin for http://vitejs.dev/,https://github.com/baseballyama/vite-plugin-svelte,0,0,JavaScript,5.22.2,1,0,
gtm-nayan/gradio,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",https://github.com/gtm-nayan/gradio,0,0,,4.2.15,0,0,
gtm-nayan/svelte-pdfjs-demo,,https://github.com/gtm-nayan/svelte-pdfjs-demo,0,0,JavaScript,4.2.7,0,1,^2.0.0
gtm-nayan/tsconfck-bug-repro,,https://github.com/gtm-nayan/tsconfck-bug-repro,0,0,CSS,5.0.0-next.1,1,1,^2.0.0
gtm-nayan/component-party.dev,🎉 Web component JS frameworks overview by their syntax and features,https://github.com/gtm-nayan/component-party.dev,0,0,,4.2.0,0,0,
Ocean-OS/sswr,🔥 Svelte stale while revalidate (SWR) data fetching strategy,https://github.com/Ocean-OS/sswr,0,0,TypeScript,5.0.0,1,0,
Ocean-OS/svelte,web development for the rest of us,https://github.com/Ocean-OS/svelte,0,0,JavaScript,workspace:,0,0,
Ocean-OS/CheckIn,fork to fix input focusing,https://github.com/Ocean-OS/CheckIn,0,0,,4.0.5,0,1,^1.20.4
Ocean-OS/ScoutClient2023,"Stable Circuits 2023 Scouting Client, but using a webhook to add a bit more automation. ",https://github.com/Ocean-OS/ScoutClient2023,0,0,Svelte,3.54.0,0,1,^1.5.0
DreaminDani/dreamindani-site,Personal site and blog for Dani Sandoval (dreamindani.com),https://github.com/DreaminDani/dreamindani-site,0,0,HTML,5.0.0,1,1,^2.0.0
DreaminDani/playahead-site,Playahead Games Website,https://github.com/DreaminDani/playahead-site,0,0,CSS,3.54.0,0,0,
DreaminDani/svelte,Cybernetically enhanced web apps,https://github.com/DreaminDani/svelte,0,2,JavaScript,workspace:,0,0,
DreaminDani/tokenbase,"Create, manage and distribute design tokens.",https://github.com/DreaminDani/tokenbase,0,0,,4.2.0,0,1,^1.8.6
DreaminDani/yMR,Public repo for yMR releases and docs,https://github.com/DreaminDani/yMR,0,0,Svelte,4.2.7,0,1,^2.0.0
DreaminDani/music-web,landing page for music,https://github.com/DreaminDani/music-web,0,0,Svelte,4.0.5,0,1,^1.20.4
DreaminDani/wordpages,Make a bunch of pages with words on them,https://github.com/DreaminDani/wordpages,0,0,Svelte,3.44.0,0,1,next
DreaminDani/chat-fallback,Screen participants for a video conversation based on their self-reported environment and internet speed,https://github.com/DreaminDani/chat-fallback,0,0,Svelte,3.34.0,0,1,next
7nik/ap-import-tags-userscript,,https://github.com/7nik/ap-import-tags-userscript,0,0,TypeScript,5.19.3,1,0,
7nik/svelte,web development for the rest of us,https://github.com/7nik/svelte,0,0,,workspace:,0,0,
7nik/neonmob-a,Alternate client for NeonMob,https://github.com/7nik/neonmob-a,0,0,Svelte,3.58.0,0,1,^1.5.0
7nik/component-party.dev,🎉 Web component JS frameworks overview by their syntax and features,https://github.com/7nik/component-party.dev,0,0,,4.2.0,0,0,
7nik/rusbooru,,https://github.com/7nik/rusbooru,0,0,TypeScript,3.54.0,0,0,
7nik/math-examples,Different examples for math,https://github.com/7nik/math-examples,0,0,Svelte,3.44.0,0,1,next
mrkishi/kit-repros,,https://github.com/mrkishi/kit-repros,0,0,JavaScript,3.44.0,0,1,next
mrkishi/kit,The fastest way to build Svelte apps,https://github.com/mrkishi/kit,0,0,JavaScript,3.48.0,0,0,
mrkishi/kit-sandbox,A sandbox for maintainers,https://github.com/mrkishi/kit-sandbox,0,0,,3.44.0,0,1,next
mrkishi/rollup-plugin-svelte,Compile Svelte components with Rollup,https://github.com/mrkishi/rollup-plugin-svelte,0,0,JavaScript,2.9.1,0,0,
mrkishi/sapper,"Military-grade progressive web apps, powered by Svelte",https://github.com/mrkishi/sapper,0,0,TypeScript,3.6.9,0,0,
mrkishi/svelte-repl,The <Repl> component used on the Svelte website,https://github.com/mrkishi/svelte-repl,0,0,JavaScript,3.0.0-beta.28,0,0,
mrkishi/sapper-template,Starter template for Sapper apps,https://github.com/mrkishi/sapper-template,0,0,JavaScript,2.0.0,0,0,
